Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
"San Francisco Bay Area, Silicon Valley, West Coast",[],0,[],0,[],0
